,0
661,1783004.5208327868
662,1707986.1387458935
663,1687868.479647344
664,1690604.3282890108
665,1761885.8014008005
666,1775018.0898949017
667,1750349.9170191183
668,1775809.2433899972
669,1813222.932260782
670,1810896.7886327608
671,1808523.7079192032
672,1794328.9554817574
673,1757647.8283959257
674,1756244.7627018106
675,1802495.7374506583
676,1792905.2650227665
677,1748883.8870728458
678,1760748.625886435
679,1773475.8488522132
680,1795749.0343592386
681,1825493.621409011
682,1838901.5993950297
683,1844985.8348868543
684,1845994.2914854814
685,1809755.1136558708
686,1737181.590947908
687,1743234.695305987
688,1769482.298720447
689,1786711.8836016783
690,1764739.8071056532
691,1781019.3992001382
692,1743792.5135166212
693,1707649.829958168
694,1720540.2181935064
695,1750268.2273013114
696,1756231.4735256648
697,1747552.0059558218
698,1816633.3058313355
699,1827016.4923582647
700,1835300.5819477218
701,1840657.915561577
702,1885998.839908876
703,1857600.0019728092
704,1899904.9773065676
705,1856898.4179843026
706,1863240.1939667363
707,1883716.0318203587
708,1910188.409268234
709,1876433.179380491
710,1904722.7012549296
711,1944324.546333848
712,1948391.4640592302
713,1902385.2005947868
714,1855863.3367506226
715,1883786.6951979175
716,1914638.669132069
717,1906962.6496702738
718,1920570.2794418973
719,1940210.0544980634
720,1876710.1090885603
721,1881656.3602702504
722,1903299.171179769
723,1883021.815446268
724,1882024.2068657477
725,1850359.9495212056
726,1826278.8252462174
727,1811024.3277750942
728,1774921.0238015426
729,1783986.8722913023
730,1738045.6523635718
731,1723591.4637970412
732,1780872.1248106747
733,1790943.9505566603
734,1865324.7263089293
735,1865773.9337017264
736,1866729.025031521
737,1880479.5951162986
738,1889355.5710403994
739,1889564.8369281623
740,1864862.5310264735
741,1895881.2567299814
742,1875148.970635513
743,1875792.8247328051
744,1839514.6471156424
745,1837569.593792627
746,1844043.176287899
747,1834993.8353659976
748,1897230.116697864
749,1908660.007114619
750,1919069.5687609725
751,1941179.6104666665
752,1947799.7309371966
753,1922182.314193102
754,1941651.8098179002
755,1931029.3069913778
756,1972563.0705762065
757,1973364.691187858
758,1968098.1493013967
759,1964017.758451482
760,1973248.30200391
761,1981875.009995669
762,1975605.6336929118
763,1959483.980813093
764,1958885.8382127169
765,1975881.7150576198
766,1986808.94034078
767,1984733.1119992735
768,1973633.6635427596
769,1981601.5262798662
770,1970563.0056399778
771,2012431.4647394165
772,1999301.6515109246
773,1984715.2692899113
774,1990616.106204064
775,1991879.701348025
776,1997281.2829992613
777,1997399.1350533988
778,2023067.9800042575
779,2035698.851396982
780,2043347.3340607642
781,2057031.8987860237
782,2084667.3345697725
783,2073716.635843418
784,2102577.177914799
785,2112236.1152866753
786,2076103.6931984185
787,2098768.580790439
788,2102845.162996947
789,2133859.1465270985
790,2126304.2779106544
791,2132420.2646738514
792,2148360.4373884643
793,2155120.7807992892
794,2167425.334440816
795,2173443.409178278
796,2184988.968054262
797,2185755.503699805
798,2165734.6474852017
799,2146647.9788389388
800,2156410.5344368485
801,2178812.7407639725
802,2179217.362680136
803,2196806.7358671078
804,2242245.653725003
805,2267600.486940662
806,2258571.785658892
807,2255853.3032782194
808,2277844.2256873352
809,2268873.2894319994
810,2254167.7339028073
811,2230026.7266325364
812,2230614.1396743082
813,2265950.432077039
814,2268740.2702454277
815,2256810.2364632436
816,2254557.0028245235
817,2248105.6878300174
818,2281664.3279921077
819,2284090.4197537634
820,2263657.058352991
821,2267047.305516993
822,2253359.529249929
823,2217047.372367231
824,2218841.196974247
825,2232060.1238707616
826,2188908.279230972
827,2162354.5706111537
828,2227268.556832588
829,2224995.086922957
830,2187835.9101058347
831,2173550.0408851285
832,2165679.88702839
833,2159659.3850663286
834,2235710.0618456965
835,2253651.385612434
836,2250628.128937703
837,2225330.108482005
838,2233436.757536413
839,2229446.5873370324
840,2213655.7907497147
841,2166494.074025131
842,2168890.7855955227
843,2162562.9019348416
844,2148430.5547869904
845,2161151.4148153337
846,2153063.563131541
847,2128880.544753418
848,2114766.697525935
849,2096878.2122663925
850,2070464.1966499495
851,2056927.7417141662
852,2112526.864450556
853,2104383.5284893014
854,2120034.8465798986
855,2118592.0032514185
856,2104466.258578195
857,2135486.643997291
858,2117692.303559896
859,2118342.503806859
860,2070711.4686916042
861,2074996.9478930542
862,2069225.3433696139
863,2121058.456859747
864,2132306.5069664232
